,movie_id,title,release_date
0,1,Toy Story (1995),01-Jan-1995
1,2,GoldenEye (1995),01-Jan-1995
2,3,Four Rooms (1995),01-Jan-1995
3,4,Get Shorty (1995),01-Jan-1995
4,5,Copycat (1995),01-Jan-1995
5,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),01-Jan-1995
6,7,Twelve Monkeys (1995),01-Jan-1995
7,8,Babe (1995),01-Jan-1995
8,9,Dead Man Walking (1995),01-Jan-1995
9,10,Richard III (1995),22-Jan-1996
10,11,Seven (Se7en) (1995),01-Jan-1995
11,12,"Usual Suspects, The (1995)",14-Aug-1995
12,13,Mighty Aphrodite (1995),30-Oct-1995
13,14,"Postino, Il (1994)",01-Jan-1994
14,15,Mr. Holland's Opus (1995),29-Jan-1996
15,16,French Twist (Gazon maudit) (1995),01-Jan-1995
16,17,From Dusk Till Dawn (1996),05-Feb-1996
17,18,"White Balloon, The (1995)",01-Jan-1995
18,19,Antonia's Line (1995),01-Jan-1995
19,20,Angels and Insects (1995),01-Jan-1995
20,21,Muppet Treasure Island (1996),16-Feb-1996
21,22,Braveheart (1995),16-Feb-1996
22,23,Taxi Driver (1976),16-Feb-1996
23,24,Rumble in the Bronx (1995),23-Feb-1996
24,25,"Birdcage, The (1996)",08-Mar-1996
25,26,"Brothers McMullen, The (1995)",01-Jan-1995
26,27,Bad Boys (1995),01-Jan-1995
27,28,Apollo 13 (1995),01-Jan-1995
28,29,Batman Forever (1995),01-Jan-1995
29,30,Belle de jour (1967),01-Jan-1967
30,31,Crimson Tide (1995),01-Jan-1995
31,32,Crumb (1994),01-Jan-1994
32,33,Desperado (1995),01-Jan-1995
33,34,"Doom Generation, The (1995)",01-Jan-1995
34,35,Free Willy 2: The Adventure Home (1995),01-Jan-1995
35,36,Mad Love (1995),01-Jan-1995
36,37,Nadja (1994),01-Jan-1994
37,38,"Net, The (1995)",01-Jan-1995
38,39,Strange Days (1995),01-Jan-1995
39,40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",01-Jan-1995
40,41,Billy Madison (1995),01-Jan-1995
41,42,Clerks (1994),01-Jan-1994
42,43,Disclosure (1994),01-Jan-1994
43,44,Dolores Claiborne (1994),01-Jan-1994
44,45,Eat Drink Man Woman (1994),01-Jan-1994
45,46,Exotica (1994),01-Jan-1994
46,47,Ed Wood (1994),01-Jan-1994
47,48,Hoop Dreams (1994),01-Jan-1994
48,49,I.Q. (1994),01-Jan-1994
49,50,Star Wars (1977),01-Jan-1977
50,51,Legends of the Fall (1994),01-Jan-1994
51,52,"Madness of King George, The (1994)",01-Jan-1994
52,53,Natural Born Killers (1994),01-Jan-1994
53,54,Outbreak (1995),01-Jan-1995
54,55,"Professional, The (1994)",01-Jan-1994
55,56,Pulp Fiction (1994),01-Jan-1994
56,57,Priest (1994),01-Jan-1994
57,58,Quiz Show (1994),01-Jan-1994
58,59,Three Colors: Red (1994),01-Jan-1994
59,60,Three Colors: Blue (1993),01-Jan-1993
60,61,Three Colors: White (1994),01-Jan-1994
61,62,Stargate (1994),01-Jan-1994
62,63,"Santa Clause, The (1994)",01-Jan-1994
63,64,"Shawshank Redemption, The (1994)",01-Jan-1994
64,65,What's Eating Gilbert Grape (1993),01-Jan-1993
65,66,While You Were Sleeping (1995),01-Jan-1995
66,67,Ace Ventura: Pet Detective (1994),01-Jan-1994
67,68,"Crow, The (1994)",01-Jan-1994
68,69,Forrest Gump (1994),01-Jan-1994
69,70,Four Weddings and a Funeral (1994),01-Jan-1994
70,71,"Lion King, The (1994)",01-Jan-1994
71,72,"Mask, The (1994)",01-Jan-1994
72,73,Maverick (1994),01-Jan-1994
73,74,Faster Pussycat! Kill! Kill! (1965),01-Jan-1965
74,75,Brother Minister: The Assassination of Malcolm X (1994),01-Jan-1994
75,76,Carlito's Way (1993),01-Jan-1993
76,77,"Firm, The (1993)",01-Jan-1993
77,78,Free Willy (1993),01-Jan-1993
78,79,"Fugitive, The (1993)",01-Jan-1993
79,80,Hot Shots! Part Deux (1993),01-Jan-1993
80,81,"Hudsucker Proxy, The (1994)",01-Jan-1994
81,82,Jurassic Park (1993),01-Jan-1993
82,83,Much Ado About Nothing (1993),01-Jan-1993
83,84,Robert A. Heinlein's The Puppet Masters (1994),01-Jan-1994
84,85,"Ref, The (1994)",01-Jan-1994
85,86,"Remains of the Day, The (1993)",01-Jan-1993
86,87,Searching for Bobby Fischer (1993),01-Jan-1993
87,88,Sleepless in Seattle (1993),01-Jan-1993
88,89,Blade Runner (1982),01-Jan-1982
89,90,So I Married an Axe Murderer (1993),01-Jan-1993
90,91,"Nightmare Before Christmas, The (1993)",01-Jan-1993
91,92,True Romance (1993),01-Jan-1993
92,93,Welcome to the Dollhouse (1995),24-May-1996
93,94,Home Alone (1990),01-Jan-1990
94,95,Aladdin (1992),01-Jan-1992
95,96,Terminator 2: Judgment Day (1991),01-Jan-1991
96,97,Dances with Wolves (1990),01-Jan-1990
97,98,"Silence of the Lambs, The (1991)",01-Jan-1991
98,99,Snow White and the Seven Dwarfs (1937),01-Jan-1937
99,100,Fargo (1996),14-Feb-1997
100,101,Heavy Metal (1981),08-Mar-1981
101,102,"Aristocats, The (1970)",01-Jan-1970
102,103,All Dogs Go to Heaven 2 (1996),29-Mar-1996
103,104,Theodore Rex (1995),29-Mar-1996
104,105,Sgt. Bilko (1996),29-Mar-1996
105,106,Diabolique (1996),01-Jan-1996
106,107,Moll Flanders (1996),14-Jun-1996
107,108,Kids in the Hall: Brain Candy (1996),12-Apr-1996
108,109,Mystery Science Theater 3000: The Movie (1996),19-Apr-1996
109,110,Operation Dumbo Drop (1995),01-Jan-1995
110,111,"Truth About Cats & Dogs, The (1996)",26-Apr-1996
111,112,Flipper (1996),10-May-1996
112,113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",19-Apr-1996
113,114,Wallace & Gromit: The Best of Aardman Animation (1996),05-Apr-1996
114,115,"Haunted World of Edward D. Wood Jr., The (1995)",26-Apr-1996
115,116,Cold Comfort Farm (1995),23-Apr-1996
116,117,"Rock, The (1996)",07-Jun-1996
117,118,Twister (1996),10-May-1996
118,119,Maya Lin: A Strong Clear Vision (1994),01-Jan-1994
119,120,Striptease (1996),28-Jun-1996
120,121,Independence Day (ID4) (1996),03-Jul-1996
121,122,"Cable Guy, The (1996)",14-Jun-1996
122,123,"Frighteners, The (1996)",19-Jul-1996
123,124,Lone Star (1996),21-Jun-1996
124,125,Phenomenon (1996),29-Jun-1996
125,126,"Spitfire Grill, The (1996)",06-Sep-1996
126,127,"Godfather, The (1972)",01-Jan-1972
127,128,Supercop (1992),26-Jul-1996
128,129,Bound (1996),04-Oct-1996
129,130,Kansas City (1996),16-Aug-1996
130,131,Breakfast at Tiffany's (1961),01-Jan-1961
131,132,"Wizard of Oz, The (1939)",01-Jan-1939
132,133,Gone with the Wind (1939),01-Jan-1939
133,134,Citizen Kane (1941),01-Jan-1941
134,135,2001: A Space Odyssey (1968),01-Jan-1968
135,136,Mr. Smith Goes to Washington (1939),01-Jan-1939
136,137,Big Night (1996),20-Sep-1996
137,138,D3: The Mighty Ducks (1996),04-Oct-1996
138,139,"Love Bug, The (1969)",01-Jan-1969
139,140,Homeward Bound: The Incredible Journey (1993),01-Jan-1993
140,141,"20,000 Leagues Under the Sea (1954)",01-Jan-1954
141,142,Bedknobs and Broomsticks (1971),01-Jan-1971
142,143,"Sound of Music, The (1965)",01-Jan-1965
143,144,Die Hard (1988),01-Jan-1988
144,145,"Lawnmower Man, The (1992)",01-Jan-1992
145,146,Unhook the Stars (1996),30-Oct-1996
146,147,"Long Kiss Goodnight, The (1996)",05-Oct-1996
147,148,"Ghost and the Darkness, The (1996)",11-Oct-1996
148,149,Jude (1996),01-Nov-1996
149,150,Swingers (1996),18-Oct-1996
150,151,Willy Wonka and the Chocolate Factory (1971),01-Jan-1971
151,152,Sleeper (1973),01-Jan-1973
152,153,"Fish Called Wanda, A (1988)",01-Jan-1988
153,154,Monty Python's Life of Brian (1979),01-Jan-1979
154,155,Dirty Dancing (1987),01-Jan-1987
155,156,Reservoir Dogs (1992),01-Jan-1992
156,157,Platoon (1986),01-Jan-1986
157,158,Weekend at Bernie's (1989),01-Jan-1989
158,159,Basic Instinct (1992),01-Jan-1992
159,160,Glengarry Glen Ross (1992),01-Jan-1992
160,161,Top Gun (1986),01-Jan-1986
161,162,On Golden Pond (1981),01-Jan-1981
162,163,"Return of the Pink Panther, The (1974)",01-Jan-1974
163,164,"Abyss, The (1989)",01-Jan-1989
164,165,Jean de Florette (1986),01-Jan-1986
165,166,Manon of the Spring (Manon des sources) (1986),01-Jan-1986
166,167,Private Benjamin (1980),01-Jan-1980
167,168,Monty Python and the Holy Grail (1974),01-Jan-1974
168,169,"Wrong Trousers, The (1993)",01-Jan-1993
169,170,Cinema Paradiso (1988),01-Jan-1988
170,171,Delicatessen (1991),01-Jan-1991
171,172,"Empire Strikes Back, The (1980)",01-Jan-1980
172,173,"Princess Bride, The (1987)",01-Jan-1987
173,174,Raiders of the Lost Ark (1981),01-Jan-1981
174,175,Brazil (1985),01-Jan-1985
175,176,Aliens (1986),01-Jan-1986
176,177,"Good, The Bad and The Ugly, The (1966)",01-Jan-1966
177,178,12 Angry Men (1957),01-Jan-1957
178,179,"Clockwork Orange, A (1971)",01-Jan-1971
179,180,Apocalypse Now (1979),01-Jan-1979
180,181,Return of the Jedi (1983),14-Mar-1997
181,182,GoodFellas (1990),01-Jan-1990
182,183,Alien (1979),01-Jan-1979
183,184,Army of Darkness (1993),01-Jan-1993
184,185,Psycho (1960),01-Jan-1960
185,186,"Blues Brothers, The (1980)",01-Jan-1980
186,187,"Godfather: Part II, The (1974)",01-Jan-1974
187,188,Full Metal Jacket (1987),01-Jan-1987
188,189,"Grand Day Out, A (1992)",01-Jan-1992
189,190,Henry V (1989),01-Jan-1989
190,191,Amadeus (1984),01-Jan-1984
191,192,Raging Bull (1980),01-Jan-1980
192,193,"Right Stuff, The (1983)",01-Jan-1983
193,194,"Sting, The (1973)",01-Jan-1973
194,195,"Terminator, The (1984)",01-Jan-1984
195,196,Dead Poets Society (1989),01-Jan-1989
196,197,"Graduate, The (1967)",01-Jan-1967
197,198,Nikita (La Femme Nikita) (1990),01-Jan-1990
198,199,"Bridge on the River Kwai, The (1957)",01-Jan-1957
199,200,"Shining, The (1980)",01-Jan-1980
200,201,Evil Dead II (1987),01-Jan-1987
201,202,Groundhog Day (1993),01-Jan-1993
202,203,Unforgiven (1992),01-Jan-1992
203,204,Back to the Future (1985),01-Jan-1985
204,205,Patton (1970),01-Jan-1970
205,206,Akira (1988),01-Jan-1988
206,207,Cyrano de Bergerac (1990),01-Jan-1990
207,208,Young Frankenstein (1974),01-Jan-1974
208,209,This Is Spinal Tap (1984),01-Jan-1984
209,210,Indiana Jones and the Last Crusade (1989),01-Jan-1989
210,211,M*A*S*H (1970),01-Jan-1970
211,212,"Unbearable Lightness of Being, The (1988)",01-Jan-1988
212,213,"Room with a View, A (1986)",01-Jan-1986
213,214,Pink Floyd - The Wall (1982),01-Jan-1982
214,215,Field of Dreams (1989),01-Jan-1989
215,216,When Harry Met Sally... (1989),01-Jan-1989
216,217,Bram Stoker's Dracula (1992),01-Jan-1992
217,218,Cape Fear (1991),01-Jan-1991
218,219,"Nightmare on Elm Street, A (1984)",01-Jan-1984
219,220,"Mirror Has Two Faces, The (1996)",15-Nov-1996
220,221,Breaking the Waves (1996),15-Nov-1996
221,222,Star Trek: First Contact (1996),22-Nov-1996
222,223,Sling Blade (1996),22-Nov-1996
223,224,Ridicule (1996),27-Nov-1996
224,225,101 Dalmatians (1996),27-Nov-1996
225,226,Die Hard 2 (1990),01-Jan-1990
226,227,Star Trek VI: The Undiscovered Country (1991),01-Jan-1991
227,228,Star Trek: The Wrath of Khan (1982),01-Jan-1982
228,229,Star Trek III: The Search for Spock (1984),01-Jan-1984
229,230,Star Trek IV: The Voyage Home (1986),01-Jan-1986
230,231,Batman Returns (1992),01-Jan-1992
231,232,Young Guns (1988),01-Jan-1988
232,233,Under Siege (1992),01-Jan-1992
233,234,Jaws (1975),01-Jan-1975
234,235,Mars Attacks! (1996),13-Dec-1996
235,236,Citizen Ruth (1996),13-Dec-1996
236,237,Jerry Maguire (1996),13-Dec-1996
237,238,Raising Arizona (1987),01-Jan-1987
238,239,Sneakers (1992),01-Jan-1992
239,240,Beavis and Butt-head Do America (1996),20-Dec-1996
240,241,"Last of the Mohicans, The (1992)",01-Jan-1992
241,242,Kolya (1996),24-Jan-1997
242,243,Jungle2Jungle (1997),07-Mar-1997
243,244,Smilla's Sense of Snow (1997),14-Mar-1997
244,245,"Devil's Own, The (1997)",26-Mar-1997
245,246,Chasing Amy (1997),01-Jan-1997
246,247,Turbo: A Power Rangers Movie (1997),28-Mar-1997
247,248,Grosse Pointe Blank (1997),11-Apr-1997
248,249,Austin Powers: International Man of Mystery (1997),02-May-1997
249,250,"Fifth Element, The (1997)",09-May-1997
250,251,Shall We Dance? (1996),11-Jul-1997
251,252,"Lost World: Jurassic Park, The (1997)",23-May-1997
